編號,地段位置或門牌,社區簡稱,交易日期,總價(萬元),單價(萬元/坪),總面積(坪),主建物佔比,型態,屋齡,樓別/樓高,主要用途,交易標的,交易筆棟數,建物現況格局,車位總價(萬元),管理組織,電梯,備註,,
118,東區裕農路６６號十二樓,御龍花園,113/04/23,"1,530",15.8,96.84,42.78%,住宅大樓(11層含以上有電梯),30,"十二層,夾層/十二層",住家用,房地(土地+建物)+車位,土:1 建物:1 車位:2,3房2廳3衛,,有,有,夾層;其他增建;,,
119,東區自由路二段１７５巷２８號四樓之１,南元江山大樓,113/04/11,258,28.3,9.13,70.41%,華廈(10層含以下有電梯),28,四層/八層,住家用,房地(土地+建物),土:1 建物:1 車位:0,1房1衛,,有,有,其他增建;,,
120,東區中華東路二段７３巷１１號五樓之２,東方明秀,113/04/20,242,20.8,11.65,61.10%,華廈(10層含以下有電梯),34,五層/六層,住家用,房地(土地+建物),土:1 建物:1 車位:0,1房1廳1衛,,有,有,,,
121,東區自由路二段１７５巷５１弄１８號,,113/04/12,"1,830",,52.65,,透天厝,9,全/四層,住家用,房地(土地+建物),土:2 建物:1 車位:0,4房2廳4衛,,有,無,陽台外推;頂樓加蓋;,,
122,東區富農街一段１９９巷５號,太子統帥,113/04/30,"1,100",22.7,48.51,77.48%,住宅大樓(11層含以上有電梯),32,"一層,二層/十一層",住商用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳2衛,,有,有,,,
123,東區裕學路１８５巷８號,,113/04/12,750,,21.81,,透天厝,50,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,無,無,頂樓加蓋;其他增建;,,
124,東區府連路２０４巷１７弄６號,,113/04/28,"1,200",,46.75,,透天厝,34,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳3衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;,,
125,東區德東街２５２號七樓之５,賜伯大觀園第三期大樓,113/04/09,550,18.7,29.37,57.61%,華廈(10層含以下有電梯),31,七層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
126,東區裕農路１１０號,,113/04/09,"1,390",,34.33,,透天厝,51,全/二層,住家用,房地(土地+建物),土:2 建物:1 車位:0,4房2廳2衛,,無,無,頂樓加蓋;其他增建;,,
127,東區衛國街１１４巷１４之５號,,113/04/25,666,29.2,22.78,86.91%,華廈(10層含以下有電梯),44,六層/七層,住家用,房地(土地+建物),土:16 建物:1 車位:0,2房2廳2衛,,有,有,,,
128,東區崇德八街４４號,,113/04/03,"1,250",,65.98,,透天厝,40,全/三層,住商用,房地(土地+建物),土:1 建物:1 車位:0,7房2廳3衛,,無,無,頂樓加蓋;,,
129,東區大同路二段６１巷１１５號四樓,,113/04/19,175,21.5,8.12,64.36%,華廈(10層含以下有電梯),33,"四層,走廊/五層",住家用,房地(土地+建物),土:2 建物:1 車位:0,1房1廳1衛,,無,有,,,
130,東區德昌路６９號三樓之３,白京京東,113/04/21,950,38.1,24.90,72.45%,華廈(10層含以下有電梯),5,三層/六層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房1廳1衛,,有,有,,,
131,東區長榮路一段２５６號六樓之３,皇后大道大樓,113/04/23,280,15.8,17.68,80.85%,住宅大樓(11層含以上有電梯),30,六層/十二層,商業用,房地(土地+建物),土:2 建物:1 車位:0,,,有,有,,,
132,東區裕文路２３號,綠波鎮,113/04/26,"1,400",33.9,41.33,76.18%,華廈(10層含以下有電梯),28,"一層,二層,騎樓/九層",住商用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳2衛,,有,有,其他增建;,,
133,東區崇明路１３９號九樓之６,東方紐約大廈,113/04/14,780,26.7,29.25,56.76%,住宅大樓(11層含以上有電梯),28,九層/十六層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳1衛,,有,有,,,
134,東區大同路一段３２９巷３２號五樓,,113/04/15,260,7.7,33.92,70.19%,公寓(5樓含以下無電梯),42,五層/五層,住家用,房地(土地+建物),土:2 建物:1 車位:0,3房1廳2衛,,無,無,,,
135,東區東門路三段３７巷６３弄２號,,113/04/22,850,,28.89,,透天厝,49,全/二層,住家用,房地(土地+建物),土:2 建物:1 車位:0,3房2廳2衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;(包含)公共設施保留地(用地);,,
136,東區長榮路一段２２７號十一樓之１２,鄉城長榮新秀,113/04/12,415,27.8,14.93,70.39%,住宅大樓(11層含以上有電梯),25,十一層/十二層,住家用,房地(土地+建物)+車位,土:2 建物:1 車位:1,1房1衛,,有,有,,,
137,東區崇元一街２號四樓之９,,113/04/19,"1,530",36.9,41.44,56.40%,住宅大樓(11層含以上有電梯),1,四層/十四層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
138,東區中華東路二段１９３號七樓之８,鄉城陽光鎮,113/04/14,322,23.1,13.96,55.20%,住宅大樓(11層含以上有電梯),28,七層/二十層,住家用,房地(土地+建物),土:3 建物:1 車位:0,1房1廳1衛,,有,有,,,
139,東區裕和二街１０６號五樓,植村樹大樓,113/04/14,820,35.6,23.02,60.53%,華廈(10層含以下有電梯),16,五層/七層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳1衛,,有,有,,,
140,東區大同路一段１７３號二樓,統穩商業大樓,113/04/15,"1,480",11.5,128.73,67.85%,住宅大樓(11層含以上有電梯),33,二層/十二層,商業用,房地(土地+建物),土:1 建物:1 車位:0,,,有,有,陽台外推;,,
141,東區中華東路二段１８５巷１４號,鄉城陽光鎮,113/04/22,"3,800",16.1,235.51,75.20%,住宅大樓(11層含以上有電梯),28,"一層,二層/二十層",其他,房地(土地+建物),土:4 建物:1 車位:0,10房1廳5衛,,有,有,50地號售價266萬夾層;其他增建;,,
142,東區中華東路二段１８５巷１４號四樓之３,鄉城陽光鎮,113/04/27,770,20.2,38.18,62.50%,住宅大樓(11層含以上有電梯),28,四層/二十層,住家用,房地(土地+建物),土:3 建物:1 車位:0,3房2廳2衛,,有,有,,,
143,東區長榮路一段９號十樓之３,澄品觀邸大樓,113/04/29,"1,380",30.2,45.77,60.68%,住宅大樓(11層含以上有電梯),13,十層/十四層,住家用,房地(土地+建物),土:2 建物:1 車位:0,3房2廳2衛,,有,有,,,
144,東區中華東路二段２４３巷９號,,113/04/26,270,,8.61,,透天厝,38,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳3衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;頂樓加蓋;其他增建;,,
145,東區大同路二段４０３巷６０號四樓,,113/04/02,356,12.4,28.73,72.37%,公寓(5樓含以下無電梯),40,四層/五層,住家用,房地(土地+建物),土:3 建物:1 車位:0,3房2廳1衛,,無,無,,,
146,東區東門路三段２６６巷５號九樓,煙波PARK,113/04/05,"1,180",31.9,36.96,60.16%,住宅大樓(11層含以上有電梯),5,九層/十三層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳1衛,,有,有,,,
147,東區自由路二段２１６號三樓,,113/04/06,950,14.7,64.64,66.77%,公寓(5樓含以下無電梯),26,三層/五層,住家用,房地(土地+建物)+車位,土:2 建物:1 車位:1,4房2廳3衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;,,
148,東區崇德十九街５９號七樓,文化藝術家大樓,113/04/16,450,11.1,40.70,54.63%,華廈(10層含以下有電梯),30,七層/九層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,親友、員工、共有人或其他特殊關係間之交易;,,
149,東區東興路１１１號四樓,喜洋洋,113/04/17,565,21.1,26.76,67.53%,華廈(10層含以下有電梯),39,四層/七層,住家用,房地(土地+建物),土:2 建物:1 車位:0,3房2廳2衛,,有,有,(包含)公共設施保留地(用地);,,
150,東區東安路２５０號八樓之１,鴻儒天下NO3,113/04/10,"1,180",23.5,50.16,57.32%,華廈(10層含以下有電梯),32,"八層,通道/十層",住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,4房2廳2衛,,有,有,陽台外推;,,
151,東區東門路三段２６６巷１７號三樓,煙波四季,113/04/02,"1,200",33.2,36.10,60.27%,住宅大樓(11層含以上有電梯),6,三層/十三層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房1廳1衛,,有,有,陽台外推;,,
152,東區崇德十八街１４號,大隆雙星,113/04/03,650,25.5,25.54,75.17%,華廈(10層含以下有電梯),31,一層/六層,商業用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,有,有,其他增建;,,
153,東區崇信街５１巷１１號,,113/04/01,"1,400",,74.16,,透天厝,36,全/四層,住商用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳3衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;,,
154,東區崇元一街１０號九樓之９,,113/04/09,"1,305",36.4,35.87,58.88%,住宅大樓(11層含以上有電梯),1,九層/十四層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,,有,有,,,
155,東區中華東路二段１６９號三樓之１３,摩根168大樓,113/04/11,380,28.8,13.20,53.88%,住宅大樓(11層含以上有電梯),16,三層/十四層,住家用,房地(土地+建物),土:2 建物:1 車位:0,1房1廳1衛,,有,有,,,
156,東區裕農路４３巷２９弄１號六樓之２,台南名家,113/04/01,"1,640",22.8,72.08,49.45%,華廈(10層含以下有電梯),33,"六層,七層/七層",住家用,房地(土地+建物)+車位,土:2 建物:1 車位:1,5房2廳3衛,,有,有,其他增建;,,
157,東區崇明十三街４號四樓之３,,113/04/09,555,19.7,28.11,92.61%,公寓(5樓含以下無電梯),43,四層/五層,住家用,房地(土地+建物),土:2 建物:1 車位:0,3房2廳2衛,,無,無,,,
158,東區東門路三段２７３巷２４弄６號,,113/04/13,"1,168",,28.48,,透天厝,40,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳3衛,,無,無,陽台外推;頂樓加蓋;其他增建;,,
159,東區仁東街９７之１號四樓之１,,113/04/29,"1,225",34.4,34.63,71.02%,華廈(10層含以下有電梯),1,四層/五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,180,有,有,,,
160,東區裕永路１１號三樓之１,,113/04/20,"1,660",46.7,35.85,70.82%,華廈(10層含以下有電梯),1,三層/五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,180,有,有,,,
161,東區崇賢三路６號十二樓之３,富立和築大樓,113/04/01,"2,500",39.3,63.56,61.62%,住宅大樓(11層含以上有電梯),5,十二層/十五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
162,東區崇學路６７號,文化廣場大樓,113/04/19,"2,300",27,85.20,75.49%,住宅大樓(11層含以上有電梯),32,"一層,二層,三層,四層,騎樓/十二層",住商用,房地(土地+建物)+車位,土:1 建物:1 車位:1,4房3廳5衛,,有,有,,,
163,東區中華東路二段１６９號十樓之８,摩根168大樓,113/04/25,310,28.5,10.87,60.72%,住宅大樓(11層含以上有電梯),16,十層/十四層,住家用,房地(土地+建物),土:2 建物:1 車位:0,1房1廳1衛,,有,有,,,
164,東區大同路二段６１巷１３６弄１６號,,113/04/13,640,,23.20,,透天厝,52,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳2衛,,無,無,,,
165,東區崇德十九街５６號四樓,,113/04/24,590,19.5,30.20,68.68%,華廈(10層含以下有電梯),31,四層/七層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳1衛,,有,有,陽台外推;,,
166,東區東興路１９５號七樓之４,,113/04/23,750,20.8,35.99,66.83%,華廈(10層含以下有電梯),39,七層/七層,住家用,房地(土地+建物),土:3 建物:1 車位:0,6房2廳5衛,,有,有,含傢俱設備費;頂樓加蓋;,,
167,東區裕豐街１８５巷１２弄１４號四樓之３,,113/04/23,380,18.8,20.18,66.74%,公寓(5樓含以下無電梯),30,四層/五層,住家用,房地(土地+建物),土:2 建物:1 車位:0,2房2廳1衛,,無,無,,,
168,東區長榮路一段１３５巷１３號,,113/04/01,120,8.4,14.28,96.50%,公寓(5樓含以下無電梯),49,"一層,二層,屋頂突出物,夾層/三層",住家用,房地(土地+建物),土:3 建物:1 車位:0,3房1廳2衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;其他增建;,,
169,東區大同路二段４０３巷４７號,,113/04/16,"1,100",,29.14,,透天厝,46,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳3衛,,無,無,其他增建;,,
170,東區崇明二街５６號,,113/04/20,"1,950",,50.00,,透天厝,37,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳3衛,,無,無,陽台外推;頂樓加蓋;其他增建;,,
171,東區裕農路２９１巷５４弄１２號五樓之１,,113/04/22,300,24.8,12.09,85.86%,公寓(5樓含以下無電梯),43,五層/五層,住家用,房地(土地+建物),土:2 建物:1 車位:0,4房2廳2衛,,無,無,頂樓加蓋;,,
172,東區利東街５３號五樓之２,吉寶市大樓,113/04/20,826,20,41.31,57.26%,華廈(10層含以下有電梯),29,五層/九層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,其他增建;,,
173,東區東門路一段６１號三樓之３,青年大廈,113/04/24,165,21.9,7.54,52.11%,華廈(10層含以下有電梯),34,三層/七層,住家用,房地(土地+建物),土:2 建物:1 車位:0,1房1衛,,有,有,,,
174,東區中華東路二段１９３號十九樓之２,鄉城陽光鎮,113/04/15,710,24.1,29.52,46.10%,住宅大樓(11層含以上有電梯),28,十九層/二十層,住家用,房地(土地+建物)+車位,土:3 建物:1 車位:1,2房2廳1衛,,有,有,陽台外推;,,
175,東區怡東路１５０巷１號二樓,大鵬新城CD,113/04/07,930,23.7,39.29,62.82%,住宅大樓(11層含以上有電梯),24,二層/十二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,有,有,,,
176,東區仁和路１０９巷１３５弄９３號,,113/04/09,"1,980",,60.20,,透天厝,11,全/四層,住家用,房地(土地+建物),土:4 建物:1 車位:0,4房2廳4衛,,有,無,陽台外推;其他增建;,,
177,東區長榮路一段２２７號六樓之１３,鄉城長榮新秀,113/04/14,393,32.2,12.19,65.70%,住宅大樓(11層含以上有電梯),25,六層/十二層,住家用,房地(土地+建物),土:2 建物:1 車位:0,,,有,有,陽台外推;,,
178,東區東門路一段１４５之１號十二樓之２,財富生活,113/04/09,"1,130",24.9,45.47,67.25%,住宅大樓(11層含以上有電梯),31,"十二層,十三層/十五層",住家用,房地(土地+建物),土:2 建物:1 車位:0,4房2廳3衛,,有,有,含裝潢費;,,
179,東區崇善路２３１巷４３號三樓,,113/04/21,655,23.1,28.31,65.77%,華廈(10層含以下有電梯),33,三層/六層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳2衛,,有,有,,,
180,東區林森路二段１９２巷８８弄１６號,,113/04/18,352,,21.65,,透天厝,53,全/二層,住家用,房地(土地+建物),土:3 建物:1 車位:0,3房2廳2衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;,,
181,東區富農街二段２１之４號三樓,台南傳奇,113/04/09,820,21.9,37.48,51.04%,華廈(10層含以下有電梯),29,"三層,夾層/六層",住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,夾層;,,
182,東區德東街２７０號五樓,賜伯大觀園第三期大樓,113/04/03,658,21.3,30.93,60.18%,華廈(10層含以下有電梯),31,五層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳1衛,,有,有,,,
183,東區林森路一段１５３巷１５弄１９號十四樓,曼哈頓,113/04/14,"1,200",19,63.13,81.06%,住宅大樓(11層含以上有電梯),31,十四層/十五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,4房2廳2衛,,有,有,,,
184,東區崇德十八街８０號六樓之２,文化藝術家大樓,113/04/02,"1,020",21.8,46.78,44.50%,華廈(10層含以下有電梯),30,六層/九層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
185,東區林森路一段１６０號七樓之４,巴黎廣場,113/04/18,350,23.5,14.92,57.47%,住宅大樓(11層含以上有電梯),34,七層/十二層,商業用,房地(土地+建物),土:1 建物:2 車位:0,1房1廳2衛,,有,有,,,
186,東區東興路１６９巷１３之４號,,113/04/23,618,17.6,35.02,77.24%,公寓(5樓含以下無電梯),39,五層/五層,住家用,房地(土地+建物),土:3 建物:1 車位:0,3房2廳2衛,,無,無,,,
187,東區莊敬路５８巷１號,,113/04/07,"1,680",,26.17,,透天厝,45,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房1廳3衛,,無,無,,,
188,東區中華東路二段１６７號五樓之１１,摩根168大樓,113/04/11,355,29.4,12.09,54.60%,住宅大樓(11層含以上有電梯),16,五層/十四層,住家用,房地(土地+建物),土:2 建物:1 車位:0,1房1衛,,有,有,,,
189,東區崇德十五街８５號六樓,上東區,113/04/22,"1,245",35.5,35.07,64.22%,華廈(10層含以下有電梯),7,六層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,,有,有,,,
190,東區府東街９３號六樓之１,鄉城長榮新秀,113/04/19,388,34.7,11.17,70.40%,住宅大樓(11層含以上有電梯),25,六層/十二層,住家用,房地(土地+建物),土:2 建物:1 車位:0,1房1廳1衛,,有,有,,,
191,東區榮譽街１２０號六樓,文化皇冠乙區A,113/04/03,675,23.4,28.82,60.47%,華廈(10層含以下有電梯),29,六層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳1衛,,有,有,陽台外推;,,
192,東區中華東路三段３８０巷５５弄２４號,,113/04/11,600,,65.86,,透天厝,34,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳3衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;頂樓加蓋;其他增建;,,
